time,cov,total_execs
0.07,62,1
0.16,142,2
0.33,150,5
0.43,160,6
0.54,161,7
0.64,167,9
0.83,169,14
0.95,171,17
1.22,181,26
1.31,183,28
1.65,184,42
1.86,185,48
1.97,192,49
3.01,192,85
3.61,193,102
3.72,195,104
3.83,196,106
4.07,213,114
4.26,214,119
5.24,215,150
5.42,216,154
5.88,231,170
6.94,231,204
7.15,232,209
8.19,232,242
9.24,232,275
10.30,232,303
11.34,232,340
12.41,232,371
13.17,234,393
14.20,234,426
15.26,234,459
16.28,238,490
17.33,238,523
17.57,244,528
18.63,244,561
19.62,246,589
20.32,247,610
21.37,247,643
21.95,248,661
22.45,257,676
23.18,258,698
23.92,262,720
24.92,263,751
25.61,264,774
26.48,268,802
26.57,269,803
26.93,270,812
27.97,270,842
28.95,272,873
30.01,272,904
31.06,272,935
31.55,273,948
31.96,274,960
33.01,274,990
34.07,274,1020
34.63,275,1038
34.92,276,1047
35.33,323,1062
36.38,323,1097
37.06,324,1119
37.41,325,1129
38.46,325,1162
39.00,327,1177
39.34,328,1185
40.06,329,1206
40.21,330,1209
40.97,331,1233
42.00,331,1269
42.18,384,1273
43.24,384,1304
43.86,386,1321
44.04,387,1325
44.93,426,1352
45.42,427,1365
46.08,443,1387
47.14,443,1419
48.19,443,1450
48.52,445,1460
49.25,446,1482
50.30,446,1516
51.33,446,1549
52.38,446,1582
52.93,447,1599
53.37,471,1612
53.56,472,1617
54.61,472,1654
55.20,475,1673
55.33,481,1675
55.50,487,1678
55.60,488,1679
56.50,489,1706
56.71,490,1711
56.83,496,1713
57.29,497,1726
57.39,500,1728
57.57,501,1733
57.97,502,1745
58.55,503,1763
58.77,505,1769
59.74,510,1799
60.55,512,1824
61.57,512,1858
62.62,512,1889
63.02,513,1901
63.13,514,1903
64.18,514,1936
65.01,518,1959
66.05,518,1994
66.17,520,1997
66.85,526,2020
67.00,530,2023
67.16,532,2027
67.86,533,2049
68.90,533,2082
69.93,533,2115
70.98,533,2150
71.06,538,2151
72.11,538,2185
72.75,544,2205
73.68,545,2233
74.35,546,2253
74.91,547,2269
75.68,548,2293
76.73,548,2323
77.77,548,2354
78.14,549,2364
79.21,549,2396
79.38,554,2399
79.62,555,2405
80.66,555,2438
81.10,557,2450
82.15,557,2484
82.70,559,2502
83.13,560,2514
83.89,563,2539
84.45,564,2558
85.41,565,2586
86.46,565,2618
86.73,568,2625
87.30,569,2642
87.51,576,2648
88.54,576,2682
89.60,576,2716
90.63,576,2750
91.03,577,2760
91.28,578,2767
92.27,580,2798
93.26,581,2830
94.30,581,2863
95.12,582,2888
95.99,586,2915
97.03,586,2949
97.75,588,2970
97.91,589,2974
98.22,590,2983
99.02,597,3006
