time,cov
0.07,550
0.16,747
0.27,807
0.37,816
0.64,817
0.73,822
0.79,823
1.21,850
1.40,851
1.62,855
1.75,856
1.89,863
2.09,874
2.15,877
3.31,877
4.05,880
4.23,881
4.31,882
5.33,882
5.59,883
5.87,885
5.97,886
6.94,887
7.23,888
8.25,888
9.29,888
10.27,905
11.29,905
11.55,906
12.58,906
13.60,906
13.74,908
14.62,909
15.13,910
16.37,910
16.48,915
17.54,915
18.07,918
18.25,919
18.48,920
19.02,922
20.08,922
21.12,922
21.18,923
21.32,924
22.35,924
22.90,925
22.94,927
24.02,927
24.34,928
24.76,929
25.78,929
26.84,929
27.90,929
29.12,929
30.24,929
30.60,931
31.65,931
32.69,931
33.82,931
